	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)
VARIABLES	herd1	good1	bad1	alltime1	herd2	good2	bad2	alltime2	herdDiff	goodDiff	badDiff	alltimeDiff	wtp_good_alltime_1	wtp_bad_alltime_1	wtp_herd_alltime_1	wtp_good_alltime_2	wtp_bad_alltime_2	wtp_herd_alltime_2	wtp_good_alltime_diff	wtp_bad_alltime_diff	wtp_herd_alltime_diff
																					
datenum	0.00780	-0.0109	-0.0397*	-0.00298	0.000777	-0.0342	-0.0479**	-0.000646	-0.00703	-0.0233	-0.00823	0.00233	0.0869	0.0607	0.0322	-0.656	-1.039	-0.122	-0.743*	-1.100	-0.155*
	(0.00856)	(0.00629)	(0.0212)	(0.00320)	(0.00724)	(0.0322)	(0.0220)	(0.0157)	(0.00623)	(0.0275)	(0.0222)	(0.0152)	(0.0683)	(0.0488)	(0.0290)	(0.415)	(0.720)	(0.0824)	(0.413)	(0.719)	(0.0771)
herd_size	0.00170	-0.000539	-0.00268	-0.000266	-0.00336	-0.00717	-0.00927	0.0110	-0.00506**	-0.00663	-0.00660	0.0113	0.0246	0.00194	0.00981	0.234	0.392	0.0414	0.209	0.390	0.0316
	(0.00187)	(0.00125)	(0.00716)	(0.000958)	(0.00191)	(0.00663)	(0.00586)	(0.00651)	(0.00184)	(0.00658)	(0.00738)	(0.00664)	(0.0195)	(0.0137)	(0.00716)	(0.137)	(0.242)	(0.0259)	(0.140)	(0.251)	(0.0269)
age	0.00113	0.00402	0.00173	0.00319	0.0152	-0.0209	-0.00248	-0.0531*	0.0141	-0.0249	-0.00422	-0.0563**	0.0729*	0.0219	0.0285**	-0.481	-0.769	-0.0459	-0.554	-0.791	-0.0744
	(0.00558)	(0.00951)	(0.0139)	(0.00325)	(0.00911)	(0.0194)	(0.0252)	(0.0246)	(0.0100)	(0.0207)	(0.0182)	(0.0242)	(0.0383)	(0.0388)	(0.0129)	(0.568)	(0.984)	(0.113)	(0.563)	(0.981)	(0.108)
female	-0.270	0.00199	0.500	0.0885*	0.333	0.154	0.626	-1.235*	0.603**	0.152	0.126	-1.323*	0.820	0.785	-0.0146	-4.075	-6.049	-0.0724	-4.895	-6.834	-0.0578
