sessionID: 102
Game: GP2
gameID: P2
numPatches: 6
initialHerdSize: 10
numHH: 1
numYears: 1
numPhases: 2
hasChoosingShared?: true
hasChoosingPrivate?: false
hasForage?: false
maxPrivateSquares: 1
baseSquaresPerDay: 3
pS_base: 1
HpA_base: 1
dP_dHpA: 0.1
harvest_day: 60
dP_dfNeeds: 0.2
needsDays: 10
initialScore: 100
phaseLengthDays: 4
probDeathPoor: 0.6
probDeathOk: 0.2
probDeathGood: 0
grassR: 0.4
grassK: 200
grassE0: 5
showToggleButton: true
animalNeeds: 8
downThreshold: 0.6
upThreshold: 0.8
grassUndergroundFraction: 0.1
maxColorRain: 10
grass_1: 5
grass_2: 5
grass_3: 0
grass_4: 0
grass_5: 0
grass_6: 3
grass_7: 4
grass_8: 0
grass_9: 0
grass_10: 4
grass_11: 4
grass_12: 3
grass_13: 0
grass_14: 3
grass_15: 4
grass_16: 0
clim_1: 2
clim_2: 4
clim_3: 6
clim_4: 3
clim_5: 0
clim_6: 6
clim_7: 6
clim_8: 0
phase_1: P
phase_2: P
phase_3: P
phase_4: P
phase_5: P
phase_6: P
phase_7: P
phase_8: P

Choosing shared land at 10:42:14.021 AM 16-Oct-2021
Case 3.0 - Player 4 selected patch 3 3 at 10:43:59.228 AM 16-Oct-2021
Case 3.0 - Player 4 selected patch 2 2 at 10:44:10.496 AM 16-Oct-2021
Case 3.0 - Player 4 selected patch 1 3 at 10:44:11.529 AM 16-Oct-2021
Case 3.0 - Player 4 selected patch 2 4 at 10:44:12.744 AM 16-Oct-2021
Case 3.0 - Player 4 unselected patch 2 4 at 10:45:14.835 AM 16-Oct-2021
Case 3.0 - Player 4 unselected patch 1 3 at 10:45:15.172 AM 16-Oct-2021
Case 3.0 - Player 4 unselected patch 2 2 at 10:45:15.434 AM 16-Oct-2021
Case 3.0 - Player 4 unselected patch 3 3 at 10:45:15.848 AM 16-Oct-2021
Case 3.0 - Player 4 selected patch 5 5 at 10:45:19.121 AM 16-Oct-2021
Case 3.0 - Player 4 selected patch 5 4 at 10:45:19.519 AM 16-Oct-2021
Case 3.0 - Player 4 selected patch 5 3 at 10:45:19.964 AM 16-Oct-2021
Case 3.0 - Player 4 selected patch 4 3 at 10:45:20.472 AM 16-Oct-2021
Case 3.0 - Player 4 selected patch 4 4 at 10:45:20.823 AM 16-Oct-2021
Case 3.0 - Player 4 selected patch 4 5 at 10:45:21.215 AM 16-Oct-2021
Case 3.0 - Player 4 unselected patch 4 5 at 10:45:22.774 AM 16-Oct-2021
Case 3.0 - Player 4 unselected patch 4 4 at 10:45:22.912 AM 16-Oct-2021
Case 3.0 - Player 4 unselected patch 4 3 at 10:45:23.166 AM 16-Oct-2021
Case 3.0 - Player 4 unselected patch 5 3 at 10:45:23.438 AM 16-Oct-2021
Case 3.0 - Player 4 unselected patch 5 4 at 10:45:23.721 AM 16-Oct-2021
