sessionID: 203
Game: GP2
gameID: P2
numPatches: 6
initialHerdSize: 10
numHH: 1
numYears: 1
numPhases: 2
hasChoosingShared?: true
hasChoosingPrivate?: false
hasForage?: false
maxPrivateSquares: 1
baseSquaresPerDay: 3
pS_base: 1
HpA_base: 1
dP_dHpA: 0.1
harvest_day: 60
dP_dfNeeds: 0.2
needsDays: 10
initialScore: 100
phaseLengthDays: 4
probDeathPoor: 0.6
probDeathOk: 0.2
probDeathGood: 0
grassR: 0.4
grassK: 200
grassE0: 5
showToggleButton: true
animalNeeds: 8
downThreshold: 0.6
upThreshold: 0.8
grassUndergroundFraction: 0.1
maxColorRain: 10
grass_1: 5
grass_2: 5
grass_3: 0
grass_4: 0
grass_5: 0
grass_6: 3
grass_7: 4
grass_8: 0
grass_9: 0
grass_10: 4
grass_11: 4
grass_12: 3
grass_13: 0
grass_14: 3
grass_15: 4
grass_16: 0
clim_1: 2
clim_2: 4
clim_3: 6
clim_4: 3
clim_5: 0
clim_6: 6
clim_7: 6
clim_8: 0
phase_1: P
phase_2: P
phase_3: P
phase_4: P
phase_5: P
phase_6: P
phase_7: P
phase_8: P

Choosing shared land at 10:29:25.654 AM 18-Oct-2021
Case 3.0 - Player 3 selected patch 5 4 at 10:29:48.567 AM 18-Oct-2021
Case 3.0 - Player 1 selected patch 5 3 at 10:29:49.803 AM 18-Oct-2021
Case 3.0 - Player 2 selected patch 0 5 at 10:29:51.693 AM 18-Oct-2021
Case 3.0 - Player 4 unselected patch 0 5 at 10:29:59.293 AM 18-Oct-2021
Case 3.0 - Player 1 unselected patch 5 4 at 10:29:59.500 AM 18-Oct-2021
Case 3.0 - Player 2 unselected patch 5 3 at 10:30:02.097 AM 18-Oct-2021
Case 3.0 - Player 1 selected patch 5 3 at 10:30:03.421 AM 18-Oct-2021
Case 3.0 - Player 1 unselected patch 5 3 at 10:30:05.572 AM 18-Oct-2021
Case 3.0 - Player 4 selected patch 4 4 at 10:30:07.825 AM 18-Oct-2021
Case 3.0 - Player 3 selected patch 5 4 at 10:30:07.958 AM 18-Oct-2021
Case 3.0 - Player 3 selected patch 5 3 at 10:30:10.433 AM 18-Oct-2021
Case 3.0 - Player 3 selected patch 4 3 at 10:30:12.792 AM 18-Oct-2021
Case 3.0 - Player 3 selected patch 3 3 at 10:30:14.691 AM 18-Oct-2021
Case 3.0 - Player 3 unselected patch 4 3 at 10:30:16.623 AM 18-Oct-2021
Case 3.0 - Player 1 unselected patch 5 3 at 10:30:25.464 AM 18-Oct-2021
Case 3.0 - Player 2 unselected patch 4 4 at 10:30:25.973 AM 18-Oct-2021
Case 3.0 - Player 1 selected patch 5 3 at 10:30:28.439 AM 18-Oct-2021
Case 3.0 - Player 4 selected patch 5 2 at 10:30:28.707 AM 18-Oct-2021
Case 3.0 - Player 2 unselected patch 3 3 at 10:30:32.830 AM 18-Oct-2021
Case 3.0 - Player 4 selected patch 4 2 at 10:30:35.189 AM 18-Oct-2021
Case 3.0 - Player 3 selected patch 1 3 at 10:30:35.273 AM 18-Oct-2021
Case 3.0 - Player 1 selected patch 5 1 at 10:30:37.888 AM 18-Oct-2021
Case 3.0 - Player 4 selected patch 3 1 at 10:30:37.900 AM 18-Oct-2021
Case 3.0 - Player 3 unselected patch 5 3 at 10:30:39.197 AM 18-Oct-2021
Case 3.0 - Player 3 selected patch 2 5 at 10:30:41.172 AM 18-Oct-2021
Case 3.0 - Player 4 selected patch 4 5 at 10:30:43.680 AM 18-Oct-2021
Case 3.0 - Player 1 selected patch 5 0 at 10:30:44.321 AM 18-Oct-2021
Case 3.0 - Player 3 unselected patch 5 2 at 10:30:46.422 AM 18-Oct-2021
Case 3.0 - Player 3 unselected patch 5 0 at 10:30:48.561 AM 18-Oct-2021
Case 3.0 - Player 2 unselected patch 3 1 at 10:30:49.604 AM 18-Oct-2021
Case 3.0 - Player 3 selected patch 0 0 at 10:30:51.587 AM 18-Oct-2021
Case 3.0 - Player 4 selected patch 2 1 at 10:30:51.911 AM 18-Oct-2021
Case 3.0 - Player 3 selected patch 0 5 at 10:30:54.214 AM 18-Oct-2021
Case 3.0 - Player 3 selected patch 3 3 at 10:30:57.599 AM 18-Oct-2021
Case 3.0 - Player 1 selected patch 5 0 at 10:31:00.177 AM 18-Oct-2021
Case 3.0 - Player 2 unselected patch 3 3 at 10:31:01.882 AM 18-Oct-2021
Case 3.0 - Player 3 selected patch 0 2 at 10:31:02.087 AM 18-Oct-2021
Case 3.0 - Player 4 selected patch 0 1 at 10:31:07.546 AM 18-Oct-2021
Case 3.0 - Player 1 selected patch 4 0 at 10:31:09.319 AM 18-Oct-2021
Case 3.0 - Player 3 selected patch 2 2 at 10:31:09.326 AM 18-Oct-2021
Case 3.0 - Player 2 unselected patch 0 1 at 10:31:09.867 AM 18-Oct-2021
Case 3.0 - Player 4 unselected patch 1 3 at 10:31:10.002 AM 18-Oct-2021
Case 3.0 - Player 4 selected patch 1 4 at 10:31:12.633 AM 18-Oct-2021
Case 3.0 - Player 1 unselected patch 4 0 at 10:31:12.700 AM 18-Oct-2021
Case 3.0 - Player 2 unselected patch 2 1 at 10:31:12.850 AM 18-Oct-2021
Case 3.0 - Player 3 unselected patch 2 2 at 10:31:13.512 AM 18-Oct-2021
Case 3.0 - Player 2 unselected patch 5 1 at 10:31:16.023 AM 18-Oct-2021
Case 3.0 - Player 3 selected patch 3 3 at 10:31:17.663 AM 18-Oct-2021
Case 3.0 - Player 1 selected patch 3 0 at 10:31:18.084 AM 18-Oct-2021
Case 3.0 - Player 2 unselected patch 3 3 at 10:31:22.428 AM 18-Oct-2021
Case 3.0 - Player 1 unselected patch 0 2 at 10:31:30.836 AM 18-Oct-2021
Case 3.0 - Player 1 unselected patch 1 4 at 10:31:30.964 AM 18-Oct-2021
Case 3.0 - Player 1 unselected patch 0 5 at 10:31:31.599 AM 18-Oct-2021
Case 3.0 - Player 1 unselected patch 2 5 at 10:31:31.886 AM 18-Oct-2021
Case 3.0 - Player 1 unselected patch 4 5 at 10:31:32.294 AM 18-Oct-2021
Case 3.0 - Player 1 unselected patch 5 4 at 10:31:32.612 AM 18-Oct-2021
Case 3.0 - Player 1 unselected patch 4 2 at 10:31:32.918 AM 18-Oct-2021
Case 3.0 - Player 1 unselected patch 3 0 at 10:31:33.532 AM 18-Oct-2021
Case 3.0 - Player 1 unselected patch 0 0 at 10:31:34.425 AM 18-Oct-2021
Case 3.0 - Player 1 selected patch 5 1 at 10:31:35.240 AM 18-Oct-2021
Case 3.0 - Player 1 selected patch 5 2 at 10:31:35.470 AM 18-Oct-2021
Case 3.0 - Player 1 selected patch 5 3 at 10:31:36.116 AM 18-Oct-2021
Case 3.0 - Player 1 selected patch 5 4 at 10:31:36.465 AM 18-Oct-2021
Case 3.0 - Player 4 selected patch 0 0 at 10:31:36.598 AM 18-Oct-2021
Case 3.0 - Player 1 selected patch 5 5 at 10:31:37.072 AM 18-Oct-2021
Case 3.0 - Player 1 selected patch 4 0 at 10:31:37.998 AM 18-Oct-2021
