	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)
VARIABLES	mean_grass_shared_used	mean_grass_public_used	mean_grass_cut	var_grass_cut	mean_grass_live	var_grass_live	frac_shared_used	conflictCount	mean_animals	var_animals	mean_grass_shared_used	mean_grass_public_used	mean_grass_cut	var_grass_cut	mean_grass_live	var_grass_live	frac_shared_used	conflictCount	mean_animals	var_animals
																				
mean_age	-2.673*	1.217***	-0.308**	-141.1	0.852**	-28.14*	0.0249	0.000894	0.00801	0.0155										
	(1.321)	(0.372)	(0.146)	(110.8)	(0.395)	(15.47)	(0.0166)	(0.0147)	(0.0259)	(0.0614)										
frac_female	12.00	-11.35**	-6.661**	-1,856	-8.000	819.2***	0.117	-1.550***	-0.346	1.464										
	(18.30)	(4.994)	(2.421)	(1,665)	(5.285)	(280.4)	(0.210)	(0.343)	(0.360)	(1.027)										
frac_sheep	2.838	-8.796	-2.578	-2,972	7.116	558.2	-0.269	0.208	0.229	1.720										
	(25.76)	(7.774)	(3.025)	(2,032)	(7.796)	(412.7)	(0.358)	(0.356)	(0.470)	(1.155)										
frac_crops	53.73***	-2.973	-1.241	-1,890	1.457	96.88	-0.662**	-0.428	-0.224	1.521**										
	(15.68)	(5.829)	(2.540)	(1,657)	(5.335)	(362.7)	(0.293)	(0.310)	(0.378)	(0.649)										
mean_herd1	28.86	3.730	-3.950	-914.0	23.48***	-66.51	-0.173	0.207	-0.300	-2.514**										
	(22.86)	(7.079)	(5.018)	(3,372)	(7.585)	(557.3)	(0.350)	(0.572)	(0.597)	(1.097)										
mean_good1	45.63**	3.731	-3.661*	-3,582**	11.50**	469.1*	-0.413*	-0.326	-0.363	0.415										
	(17.86)	(5.044)	(1.909)	(1,311)	(5.405)	(270.5)	(0.231)	(0.223)	(0.339)	(0.726)										
mean_bad1	-5.430	7.387***	-5.283***	-2,886***	5.958***	-429.9***	0.186***	0.103	0.187*	-1.018***										
	(5.310)	(1.671)	(0.760)	(439.4)	(1.512)	(86.37)	(0.0632)	(0.101)	(0.102)	(0.352)										
mean_alltime1	8.692	-41.92***	20.08***	10,101**	-35.58***	793.2	-0.224	-1.155	0.225	0.885										
	(34.61)	(9.121)	(6.035)	(4,097)	(10.34)	(635.7)	(0.412)	(0.686)	(0.624)	(1.933)										
mean_workMale	-3.260	9.578***	3.184***	2,721***	0.944	-258.5	0.125	-0.387**	-0.186	-0.891*										
	(9.463)	(3.230)	(1.058)	(686.0)	(3.006)	(175.8)	(0.152)	(0.177)	(0.177)	(0.436)										
mean_workFemale	11.92	-11.73***	0.0374	-932.2	-3.529	324.0*	-0.212	0.344**	0.182	1.209***										
	(8.889)	(3.027)	(1.096)	(683.4)	(2.809)	(186.1)	(0.141)	(0.146)	(0.151)	(0.381)										
mean_q1	-19.94	10.06**	-4.770	-1,320	18.02***	333.4	0.00980	0.0508	-0.512	-0.117										
	(17.71)	(4.522)	(3.796)	(2,519)	(5.357)	(430.2)	(0.211)	(0.380)	(0.382)	(0.973)										
mean_q2	-8.850	8.300**	0.335	60.53	2.653	-147.1	0.0173	-0.0957	-0.0855	-0.0840										
	(8.749)	(3.071)	(1.340)	(834.4)	(2.820)	(164.8)	(0.130)	(0.116)	(0.172)	(0.319)										
mean_q3	41.45	-35.14***	9.502	4,366	-49.44***	-646.5	-0.275	-0.398	1.601***	0.719										
	(31.53)	(8.092)	(5.565)	(3,676)	(9.105)	(611.6)	(0.332)	(0.572)	(0.516)	(1.760)										
mean_q4	-8.842	25.37***	-6.127	-3,819	27.65***	243.3	-0.158	0.177	-1.074**	0.602										
	(22.60)	(6.918)	(3.719)	(2,659)	(7.452)	(326.5)	(0.315)	(0.495)	(0.488)	(1.140)										
datenum	-0.380	-0.386**	0.0169	-61.90	-0.497***	-27.23**	0.0141**	0.00290	0.0506***	-0.0174										
	(0.466)	(0.168)	(0.0727)	(47.49)	(0.149)	(10.28)	(0.00540)	(0.00801)	(0.00655)	(0.0245)										
round	6.376***	7.072***	2.367***	1,542***	6.352***	29.59	0.00150	-0.144**	-0.415***	0.0295	1.445	5.446***	1.952***	1,242***	4.169***	-138.2**	0.0783***	-0.0398	-0.442***	-0.0276
	(1.678)	(0.993)	(0.228)	(160.4)	(0.717)	(53.84)	(0.0138)	(0.0547)	(0.0434)	(0.119)	(2.010)	(0.885)	(0.363)	(203.0)	(0.537)	(57.45)	(0.0197)	(0.0380)	(0.0411)	(0.0661)
mean_grass_cut								-0.00515	0.00617	-0.0704								-0.0225*	-0.00401	-0.0375
								(0.0171)	(0.0155)	(0.0461)								(0.0124)	(0.0147)	(0.0293)
frac_shared_used								0.394*	-0.500**	0.645								0.574***	0.345	0.116
								(0.218)	(0.226)	(0.402)								(0.166)	(0.240)	(0.468)
rainfall	-1.729*	2.272***	-0.977***	-694.5***	2.448***	-194.3***	0.0189***	0.0506	-0.0632***	-0.104	-2.526**	1.664***	-1.056***	-753.5***	1.841***	-229.6***	0.0339***	0.0306	-0.101***	-0.0625
	(0.949)	(0.443)	(0.118)	(81.91)	(0.292)	(19.22)	(0.00512)	(0.0496)	(0.0219)	(0.0686)	(0.967)	(0.347)	(0.115)	(76.60)	(0.233)	(20.46)	(0.00571)	(0.0417)	(0.0214)	(0.0500)
rainfall_m1_n	-5.276***	-8.705***	-0.731***	-526.8***	-7.202***	9.322	0.0138***	0.0498	-0.0607***	-0.115	-5.816***	-9.145***	-0.817***	-592.3***	-7.571***	-14.32	0.0272***	0.0375	-0.0911***	-0.0824*
	(0.847)	(0.348)	(0.0868)	(63.00)	(0.314)	(18.49)	(0.00478)	(0.0396)	(0.0188)	(0.0693)	(0.854)	(0.236)	(0.102)	(67.15)	(0.223)	(19.22)	(0.00436)	(0.0351)	(0.0178)	(0.0467)
rainfall_m2_n	-5.673***	-6.172***	-0.566***	-443.8***	-5.340***	-43.24*	0.0186***	0.0751	-0.0769***	-0.0819	-6.312***	-6.821***	-0.680***	-526.8***	-5.877***	-70.34**	0.0352***	0.0616	-0.117***	-0.0372
