	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)
VARIABLES	mean_grass_shared_used_n	mean_grass_public_used_n	mean_grass_cut_n	var_grass_cut_n	mean_grass_live_n	var_grass_live_n	frac_shared_used_n	conflictCount	mean_animals	var_animals	mean_grass_shared_used_n	mean_grass_public_used_n	mean_grass_cut_n	var_grass_cut_n	mean_grass_live_n	var_grass_live_n	frac_shared_used_n	conflictCount	mean_animals	var_animals
																				
mean_age	-6.507***	1.762***	-0.0830	8.877	0.303	-80.93*	0.0318*	-0.00758	-0.0551*	0.132*										
	(2.026)	(0.581)	(0.130)	(82.73)	(0.578)	(41.49)	(0.0180)	(0.0299)	(0.0274)	(0.0667)										
frac_female	2.620	-23.15*	-4.649	-111.1	-23.16***	-68.39	-0.0445	-3.217***	0.123	2.679**										
	(22.95)	(11.19)	(3.361)	(2,075)	(6.091)	(688.5)	(0.199)	(0.413)	(0.612)	(1.101)										
frac_sheep	6.060	7.310	3.194	686.9	5.229	780.0	-0.147	-1.183**	-0.311	0.456										
	(35.42)	(10.99)	(2.800)	(1,804)	(9.557)	(880.5)	(0.309)	(0.422)	(0.621)	(1.139)										
frac_crops	52.06**	6.196	-2.455	-2,520**	-0.583	-682.3	-0.513***	-1.925***	-0.293	-1.835**										
	(19.29)	(6.299)	(2.004)	(1,041)	(4.880)	(505.1)	(0.166)	(0.242)	(0.410)	(0.738)										
mean_herd1	18.59	12.22	3.627	2,530	5.590	-624.4	-0.106	0.668	0.259	-2.202*										
	(19.84)	(7.343)	(3.126)	(1,714)	(5.410)	(523.7)	(0.189)	(0.399)	(0.504)	(1.079)										
mean_good1	36.75*	17.80**	-1.318	-2,502*	6.747	-462.4	-0.371**	-1.624***	-0.588	-0.408										
	(20.41)	(8.302)	(2.080)	(1,423)	(5.913)	(473.5)	(0.174)	(0.308)	(0.435)	(0.907)										
mean_bad1	-6.441	5.758**	-3.036***	-1,366***	0.00194	-673.0***	0.0858**	-0.0970	0.200	-0.861**										
	(4.134)	(2.555)	(0.579)	(336.3)	(0.921)	(108.7)	(0.0346)	(0.180)	(0.128)	(0.330)										
mean_alltime1	-2.622	-28.72**	14.70***	5,963**	-18.10	979.5	0.0606	-1.793	0.854	-3.180										
	(46.77)	(13.61)	(4.107)	(2,552)	(12.79)	(894.0)	(0.423)	(1.106)	(1.077)	(1.966)										
mean_workMale	10.43	0.0540	2.845***	2,110***	-1.697	-162.4	-0.0705	-0.291	0.423*	0.200										
	(11.43)	(3.710)	(0.912)	(583.8)	(2.924)	(291.4)	(0.102)	(0.222)	(0.206)	(0.455)										
mean_workFemale	6.126	-4.710	-1.239	-1,346**	1.968	554.0*	-0.0210	0.227	-0.236	-0.0343										
	(10.97)	(3.459)	(0.961)	(608.9)	(2.774)	(305.7)	(0.0966)	(0.150)	(0.209)	(0.410)										
mean_q1	-43.70**	22.19***	-0.695	844.3	10.75**	-516.6	0.246	0.653*	-0.635*	0.823										
	(18.77)	(6.091)	(3.147)	(1,696)	(4.090)	(378.4)	(0.160)	(0.340)	(0.365)	(0.777)										
mean_q2	-2.986	2.168	-0.999	-355.5	7.283*	550.5**	-0.0556	0.0496	-0.0399	0.962*										
	(12.40)	(4.023)	(1.181)	(538.4)	(3.617)	(238.7)	(0.106)	(0.143)	(0.225)	(0.508)										
mean_q3	131.6***	-80.71***	2.740	-13.89	-35.50***	2,385**	-0.815*	-1.705	3.259***	-1.486										
	(44.45)	(14.24)	(5.108)	(2,818)	(11.64)	(1,117)	(0.439)	(1.077)	(0.847)	(1.596)										
mean_q4	-41.08	41.87***	-5.928*	-2,713	22.27*	-747.0	-0.0105	-0.556	-2.248***	1.477										
	(37.19)	(12.13)	(3.423)	(1,961)	(10.89)	(777.7)	(0.373)	(0.817)	(0.724)	(1.602)										
datenum	1.489*	-0.774**	0.0800	-2.125	-0.365*	15.78	-0.00256	-0.0225	0.0636***	-0.0389										
	(0.720)	(0.317)	(0.103)	(53.77)	(0.179)	(17.97)	(0.00646)	(0.0211)	(0.0168)	(0.0300)										
o.round	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																				
mean_grass_cut_n								-0.0726	-0.00793	-0.157*								-0.0676*	0.0106	-0.0817
								(0.0569)	(0.0257)	(0.0847)								(0.0350)	(0.0250)	(0.0621)
frac_shared_used_n								0.0660	0.206	0.843								1.058***	0.759**	0.321
